,year,state_po,candidate,party,candidatevotes,totalvotes,votepercent,disbursements
277,1980,AK,Clark S. Gruening,democrat,72007.0,156762.0,45.933963588114466,507445
279,1980,AK,Frank H. Murkowski,republican,84159.0,156762.0,53.685842232173606,553219
270,1980,AL,Jim Folsom Jr.,democrat,610175.0,1296757.0,47.05391989401252,226600
287,1980,AR,Dale Bumpers,democrat,477905.0,808812.0,59.087278625935326,220861
288,1980,AR,Bill Clark,republican,330576.0,808812.0,40.87179715434489,119196
282,1980,AZ,Barry Goldwater,republican,432371.0,874238.0,49.45689846472013,779643
285,1980,AZ,Bill Schulz,democrat,422972.0,874238.0,48.38179077093423,1963395
289,1980,CA,Paul Gann,republican,3091671.0,8324012.0,37.14159710485761,1152272
293,1980,CA,Alan Cranston,democrat,4704098.0,8324012.0,56.51238849727751,2776007
296,1980,CO,Gary Hart,democrat,590501.0,1173142.0,50.33499780930186,866929
297,1980,CO,Mary Estill Buchanan,republican,571295.0,1173142.0,48.69785584353812,1085205
300,1980,CT,Christopher J. Dodd,democrat,763969.0,1356075.0,56.33678078277381,1405674
302,1980,CT,James L. Buckley,republican,581884.0,1356075.0,42.90942610106373,1332117
304,1980,FL,Bill Gunter,democrat,1705409.0,3528028.0,48.33887372775953,2164560
305,1980,FL,Paula Hawkins,republican,1822460.0,3528028.0,51.656619505287374,795968
306,1980,GA,Herman E. Talmadge,democrat,776143.0,1579829.0,49.12829173283944,2213289
307,1980,GA,Mack Mattingly,republican,803686.0,1579829.0,50.871708267160564,623045
309,1980,HI,Daniel K. Inouye,democrat,224485.0,288006.0,77.94455671062408,480113
310,1980,HI,Cooper Brown,republican,53068.0,288006.0,18.426005013784437,14515
324,1980,IA,Charles E. Grassley,republican,683014.0,1276986.0,53.48641253702077,1565844
328,1980,IA,John Culver,democrat,581545.0,1276986.0,45.540436621858035,1750680
311,1980,ID,Steve Symms,republican,218701.0,439647.0,49.744681528589986,1570199
312,1980,ID,Frank Church,democrat,214439.0,439647.0,48.775267430461255,1733945
314,1980,IL,David C. O'Neal,republican,1946296.0,4580029.0,42.49527677663176,1293991
315,1980,IL,Alan J. Dixon,democrat,2565302.0,4580029.0,56.01060604638093,2346897
322,1980,IN,Birch Bayh,democrat,1015962.0,2198376.0,46.21420539525541,2361322
323,1980,IN,Dan Quayle,republican,1182414.0,2198376.0,53.785794604744595,2295059
329,1980,KS,Bob Dole,republican,598686.0,938957.0,63.76074729726707,790351
330,1980,KS,John Simpson,democrat,340271.0,938957.0,36.23925270273293,340581
331,1980,KY,Wendell H. Ford,democrat,720891.0,1106920.0,65.12584468615617,472493
332,1980,KY,Mary Louise Foust,republican,386029.0,1106920.0,34.87415531384382,4180
334,1980,LA,Louis Woody Jenkins,democrat,325922.0,841013.0,38.753503215764795,237242
335,1980,LA,Russell B. Long,democrat,484770.0,841013.0,57.64120174123348,1101429
